,date,NAV,NavperUnit,sellingPrice,redemptionPrice,change,FundName
1495,2016-12-21,9936765367.23,10.8015,10.8016,10.8015,0.0001,B-TREASURY : Bualuang Treasury Fund
1496,2016-12-20,9901472629.75,10.8014,10.8015,10.8014,0.0004,B-TREASURY : Bualuang Treasury Fund
1497,2016-12-19,9948777049.67,10.801,10.8011,10.801,0.001,B-TREASURY : Bualuang Treasury Fund
1498,2016-12-16,9918411302.53,10.8,10.8001,10.8,0.0003,B-TREASURY : Bualuang Treasury Fund
1499,2016-12-15,9851168754.75,10.7997,10.7998,10.7997,0.0004,B-TREASURY : Bualuang Treasury Fund
1500,2016-12-14,9779166051.62,10.7993,10.7994,10.7993,0.0003,B-TREASURY : Bualuang Treasury Fund
1501,2016-12-13,9722632079.54,10.799,10.7991,10.799,0.0013,B-TREASURY : Bualuang Treasury Fund
1502,2016-12-09,9384442968.35,10.7977,10.7978,10.7977,0.0003,B-TREASURY : Bualuang Treasury Fund
1503,2016-12-08,9351909435.47,10.7974,10.7975,10.7974,0.0003,B-TREASURY : Bualuang Treasury Fund
1504,2016-12-07,9318101520.05,10.7971,10.7972,10.7971,0.0004,B-TREASURY : Bualuang Treasury Fund
1505,2016-12-06,9315824195.91,10.7967,10.7968,10.7967,0.0013,B-TREASURY : Bualuang Treasury Fund
